table_type,subset,cohort,window_type,window_value,definition,phase_mode,assumption_based_historical,n_windows,n_classifiable,positives,false_positive_rate,wilson95_low,wilson95_high,indeterminate_rate,p_prevalence_ge_39_1,p_prevalence_ge_44_2
window_false_positive,all,population,calendar,12,B_minimum_data_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,3,B_minimum_data_any,strict_herzog,False,50,2,2.0,1.0,0.34238022750665303,1.0,0.96,,
window_false_positive,all,population,cycle,6,B_minimum_data_any,strict_herzog,False,50,16,10.0,0.625,0.38641040545502714,0.8151876744113636,0.6799999999999999,,
window_false_positive,all,population,cycle,12,B_minimum_data_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,full,full_diary,B_minimum_data_any,strict_herzog,False,50,45,28.0,0.6222222222222222,0.47629934480889535,0.7489191532786209,0.09999999999999998,,
window_false_positive,all,healthy_ovulatory,calendar,1,B_minimum_data_excluding_C3,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,3,B_minimum_data_excluding_C3,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,4,B_minimum_data_excluding_C3,strict_herzog,False,50,35,15.0,0.42857142857142855,0.2798456817718068,0.5914258885602508,0.30000000000000004,,
window_false_positive,all,healthy_ovulatory,calendar,6,B_minimum_data_excluding_C3,strict_herzog,False,50,37,15.0,0.40540540540540543,0.26346518192014284,0.5651403526977063,0.26,,
window_false_positive,all,healthy_ovulatory,calendar,12,B_minimum_data_excluding_C3,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,3,B_minimum_data_excluding_C3,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,6,B_minimum_data_excluding_C3,strict_herzog,False,50,29,12.0,0.41379310344827586,0.255131773413224,0.5926216401212141,0.42000000000000004,,
window_false_positive,all,healthy_ovulatory,cycle,12,B_minimum_data_excluding_C3,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,full,full_diary,B_minimum_data_excluding_C3,strict_herzog,False,50,37,15.0,0.40540540540540543,0.26346518192014284,0.5651403526977063,0.26,,
window_false_positive,all,population,calendar,1,B_minimum_data_excluding_C3,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,3,B_minimum_data_excluding_C3,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,4,B_minimum_data_excluding_C3,strict_herzog,False,50,41,24.0,0.5853658536585366,0.4336710313403013,0.7224345054574786,0.18000000000000005,,
window_false_positive,all,population,calendar,6,B_minimum_data_excluding_C3,strict_herzog,False,50,45,25.0,0.5555555555555556,0.41176134493521055,0.6906106996500242,0.09999999999999998,,
window_false_positive,all,population,calendar,12,B_minimum_data_excluding_C3,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,cycle,3,B_minimum_data_excluding_C3,strict_herzog,False,50,2,2.0,1.0,0.34238022750665303,1.0,0.96,,
window_false_positive,all,population,cycle,6,B_minimum_data_excluding_C3,strict_herzog,False,50,16,9.0,0.5625,0.331785563988119,0.7690134759450765,0.6799999999999999,,
window_false_positive,all,population,cycle,12,B_minimum_data_excluding_C3,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,full,full_diary,B_minimum_data_excluding_C3,strict_herzog,False,50,45,25.0,0.5555555555555556,0.41176134493521055,0.6906106996500242,0.09999999999999998,,
window_false_positive,all,healthy_ovulatory,calendar,1,C_reproducibility_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,3,C_reproducibility_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,4,C_reproducibility_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,calendar,6,C_reproducibility_any,strict_herzog,False,50,17,6.0,0.35294117647058826,0.17309720397243744,0.5869963651478132,0.6599999999999999,,
window_false_positive,all,healthy_ovulatory,calendar,12,C_reproducibility_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,3,C_reproducibility_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,cycle,6,C_reproducibility_any,strict_herzog,False,50,17,6.0,0.35294117647058826,0.17309720397243744,0.5869963651478132,0.6599999999999999,,
window_false_positive,all,healthy_ovulatory,cycle,12,C_reproducibility_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,healthy_ovulatory,full,full_diary,C_reproducibility_any,strict_herzog,False,50,17,6.0,0.35294117647058826,0.17309720397243744,0.5869963651478132,0.6599999999999999,,
window_false_positive,all,population,calendar,1,C_reproducibility_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,3,C_reproducibility_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,4,C_reproducibility_any,strict_herzog,False,50,0,0.0,,,,1.0,,
window_false_positive,all,population,calendar,6,C_reproducibility_any,strict_herzog,False,50,12,3.0,0.25,0.08894166839405471,0.5323053349335657,0.76,,
